,Year,Drink Window,Description,Province,Type,Name of Wine,Points,Price
0,2016.0,Drink,Solid but variable year; fine quality in Sonoma and Santa Barbara,California,Chardonnay,Fess Parker 2016 Chardonnay (Santa Barbara County),88,$19.00
1,2016.0,Drink,Solid but variable year; fine quality in Sonoma and Santa Barbara,California,Chardonnay,Hahn 2016 Chardonnay (Monterey County),86,$14.00
2,2016.0,Drink,Solid but variable year; fine quality in Sonoma and Santa Barbara,California,Chardonnay,Chamisal Vineyards 2016 Stainless Chardonnay (Central Coast),88,$18.00
3,2016.0,Drink,Solid but variable year; fine quality in Sonoma and Santa Barbara,California,Chardonnay,Coquelicot 2016 Estate Chardonnay,91,$26.00
4,2016.0,Drink,Solid but variable year; fine quality in Sonoma and Santa Barbara,California,Chardonnay,Ancient Peaks 2016 Chardonnay (Santa Margarita Ranch),87,$19.00
5,2016.0,Drink,Solid but variable year; fine quality in Sonoma and Santa Barbara,California,Chardonnay,Sbragia 2016 Home Ranch Chardonnay (Dry Creek Valley),88,$30.00
6,2016.0,Drink,Solid but variable year; fine quality in Sonoma and Santa Barbara,California,Chardonnay,Wente 2016 Eric's Small Lot Unoaked Estate Chardonnay (Livermore Valley),90,$30.00
7,2016.0,Drink,Solid but variable year; fine quality in Sonoma and Santa Barbara,California,Chardonnay,Donkey & Goat 2016 Linda Vista Vineyard Chardonnay (Napa Valley),94,$32.00
8,2016.0,Drink,Solid but variable year; fine quality in Sonoma and Santa Barbara,California,Chardonnay,Vina Robles 2016 Chardonnay (Monterey),87,$22.00
9,2016.0,Drink,Solid but variable year; fine quality in Sonoma and Santa Barbara,California,Chardonnay,Meiomi 2016 Chardonnay,88,$21.00
10,2016.0,Drink,Solid but variable year; fine quality in Sonoma and Santa Barbara,California,Chardonnay,Auburn 2016 Chardonnay (Napa Valley),86,$36.00
77,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Jordan 2015 Chardonnay (Russian River Valley),91,$32.00
78,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,La Follette 2015 Sangiacomo Vineyard Chardonnay (Sonoma Coast),93,$38.00
79,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Falkner 2015 Chardonnay (Temecula Valley),90,$25.00
80,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Balletto 2015 Teresa's Unoaked Estate Grown Estate Bottled Chardonnay (Russian River Valley),92,$20.00
81,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Foley 2015 Barrel Select Chardonnay (Sta. Rita Hills),89,$50.00
82,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Lawer 2015 Cannon Block Chardonnay (Knights Valley),86,$26.00
