,type,Vintage,Score,Drink Window,Description,Carneros,Napa,Santa Barbara,Sonoma,Anderson Valley,Santa Lucia Highlands,Paso Robles
0,California/Cabernet/Napa,2017,89–92,NYR,"Drought broke over the winter, with lots of vegetation and healthy vines to start the season. Good growing season turned wickedly hot in early September, with no cooling-off period, then wildfires raged in early October, raising the specter of smoke taint. Napa’s most difficult season in recent memory",,,,,,,
1,California/Cabernet/Napa,2017,89–92,NYR,"Drought broke over the winter, with lots of vegetation and healthy vines to start the season. Good growing season turned wickedly hot in early September, with no cooling-off period, then wildfires raged in early October, raising the specter of smoke taint. Napa’s most difficult season in recent memory",,,,,,,
2,California/Cabernet/Napa,2017,89–92,NYR,"Drought broke over the winter, with lots of vegetation and healthy vines to start the season. Good growing season turned wickedly hot in early September, with no cooling-off period, then wildfires raged in early October, raising the specter of smoke taint. Napa’s most difficult season in recent memory",,,,,,,
3,California/Cabernet/Napa,2017,89–92,NYR,"Drought broke over the winter, with lots of vegetation and healthy vines to start the season. Good growing season turned wickedly hot in early September, with no cooling-off period, then wildfires raged in early October, raising the specter of smoke taint. Napa’s most difficult season in recent memory",,,,,,,
4,California/Cabernet/Napa,,,,,,,,,,,
5,California/Cabernet/Napa,2016,98,Hold,"The final drought-influenced vintage of the run since 2012, this time without serious heat spikes. Rockier soils and drier spots ripened first, while heavier soils allowed for longer hang time. Wines show intense fruit against the backdrop of their varying ",,,,,,,
6,California/Cabernet/Napa,2016,98,Hold,"The final drought-influenced vintage of the run since 2012, this time without serious heat spikes. Rockier soils and drier spots ripened first, while heavier soils allowed for longer hang time. Wines show intense fruit against the backdrop of their varying ",,,,,,,
7,California/Cabernet/Napa,2016,98,Hold,"The final drought-influenced vintage of the run since 2012, this time without serious heat spikes. Rockier soils and drier spots ripened first, while heavier soils allowed for longer hang time. Wines show intense fruit against the backdrop of their varying ",,,,,,,
8,California/Cabernet/Napa,2016,98,Hold,"The final drought-influenced vintage of the run since 2012, this time without serious heat spikes. Rockier soils and drier spots ripened first, while heavier soils allowed for longer hang time. Wines show intense fruit against the backdrop of their varying ",,,,,,,
9,California/Cabernet/Napa,,,,,,,,,,,
10,California/Cabernet/Napa,2015,94,Drink or hold,"The fourth drought-influenced year in a row, plus a cold spell during flowering led to significantly lower yields. The smaller crop ripened quickly, though, with picking beginning in August. Quality is high but more variable than 2016 or 2013, as sugars sometimes raced ahead of phenolics",,,,,,,
11,California/Cabernet/Napa,2015,94,Drink or hold,"The fourth drought-influenced year in a row, plus a cold spell during flowering led to significantly lower yields. The smaller crop ripened quickly, though, with picking beginning in August. Quality is high but more variable than 2016 or 2013, as sugars sometimes raced ahead of phenolics",,,,,,,
12,California/Cabernet/Napa,2015,94,Drink or hold,"The fourth drought-influenced year in a row, plus a cold spell during flowering led to significantly lower yields. The smaller crop ripened quickly, though, with picking beginning in August. Quality is high but more variable than 2016 or 2013, as sugars sometimes raced ahead of phenolics",,,,,,,
13,California/Cabernet/Napa,2015,94,Drink or hold,"The fourth drought-influenced year in a row, plus a cold spell during flowering led to significantly lower yields. The smaller crop ripened quickly, though, with picking beginning in August. Quality is high but more variable than 2016 or 2013, as sugars sometimes raced ahead of phenolics",,,,,,,
14,California/Cabernet/Napa,,,,,,,,,,,
15,California/Cabernet/Napa,2014,95,Drink or hold,"Heavy rains in February and March gave the vines an early boost—though not enough to break the drought—and from there warm, dry conditions led to an early harvest. Quality is very consistent, with the wines showing power and depth, as well as extra aromatic range. A beautiful vintage with a distinct signature",,,,,,,
